orb_m,5,5,5,5,5,5,10,10,10,10,10,10,15,15,15,15,15,15,20,20,20,20,20,20,25,25,25,25,25,25,30,30,30,30,30,30
target_R,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
Date Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,-1.8533,-1.8533,-1.8533,-1.8533,-1.8533,-1.8533,-1.6837,-1.6837,-1.6837,-1.6837,-1.6837,-1.6837,-1.6140,-1.6140,-1.6140,-1.6140,-1.6140,-1.6140,-1.7160,-1.7160,-1.7160,-1.7160,-1.7160,-1.7160,-1.7420,-1.7420,-1.7420,-1.7420,-1.7420,-1.7420,-1.7420,-1.7420,-1.7420,-1.7420,-1.7420,-1.7420
2025-01-03,-1.9512,-1.9512,-1.9512,-1.9512,-1.9512,-1.9512,-1.8495,-1.8495,-1.8495,-1.8495,-1.8495,-1.8495,-1.8495,-1.8495,-1.8495,-1.8495,-1.8495,-1.8495,-1.8562,-1.8562,-1.8562,-1.8562,-1.8562,-1.8562,-1.8625,-1.8625,-1.8625,-1.8625,-1.8625,-1.8625,-1.9275,-1.9275,-1.9275,-1.9275,-1.9275,-1.9275
2025-01-06,-1.9373,-1.9373,-1.9373,-1.9373,-1.9373,-1.9373,-1.7190,-1.7190,-1.7190,-1.7190,-1.7190,-1.7190,-1.7910,-1.7910,-1.7910,-1.7910,-1.7910,-1.7910,-1.8360,-1.8360,-1.8360,-1.8360,-1.8360,-1.8360,-1.9725,-1.9725,-1.9725,-1.9725,-1.9725,-1.9725,-1.6713,-1.6713,-1.6713,-1.6713,-1.6713,-1.6713
2025-01-07,0.9266,1.8533,2.7799,0.7735,0.7735,0.7735,0.8932,1.7865,2.6797,0.4650,0.4650,0.4650,0.9938,1.9875,0.2640,0.2640,0.2640,0.2640,0.9938,1.9875,0.2640,0.2640,0.2640,0.2640,0.9938,1.9875,0.2640,0.2640,0.2640,0.2640,0.9938,1.9875,0.2640,0.2640,0.2640,0.2640
2025-01-08,-1.9670,-1.9670,-1.9670,-1.9670,-1.9670,-1.9670,-1.7205,-1.7205,-1.7205,-1.7205,-1.7205,-1.7205,-1.7820,-1.7820,-1.7820,-1.7820,-1.7820,-1.7820,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455,-1.9455
2025-01-10,0.9060,-3.1380,-3.1380,-3.1380,-3.1380,-3.1380,0.9060,-3.1380,-3.1380,-3.1380,-3.1380,-3.1380,0.9593,-3.2445,-3.2445,-3.2445,-3.2445,-3.2445,0.8675,-2.8400,-2.8400,-2.8400,-2.8400,-2.8400,0.8712,-2.8475,-2.8475,-2.8475,-2.8475,-2.8475,0.8712,-2.8475,-2.8475,-2.8475,-2.8475,-2.8475
2025-01-13,-1.7535,-1.7535,-1.7535,-1.7535,-1.7535,-1.7535,-1.8357,-1.8357,-1.8357,-1.8357,-1.8357,-1.8357,-1.7895,-1.7895,-1.7895,-1.7895,-1.7895,-1.7895,-1.7895,-1.7895,-1.7895,-1.7895,-1.7895,-1.7895,2.8500,2.8500,2.8500,-0.5880,-0.5880,-0.5880,2.8170,2.8170,2.8170,-0.6210,-0.6210,-0.6210
2025-01-14,-1.7160,-1.7160,-1.7160,-1.7160,-1.7160,-1.7160,-1.7160,-1.7160,-1.7160,-1.7160,-1.7160,-1.7160,-1.8705,-1.8705,-1.8705,-1.8705,-1.8705,-1.8705,-1.9605,-1.9605,-1.9605,-1.9605,-1.9605,-1.9605,0.9803,0.9465,0.9465,0.9465,0.9465,0.9465,0.9803,0.9465,0.9465,0.9465,0.9465,0.9465
2025-01-15,-1.7520,-1.7520,-1.7520,-1.7520,-1.7520,-1.7520,-2.7540,-2.7540,-2.7540,-2.7540,-2.7540,-2.7540,-2.8500,-2.8500,-2.8500,-2.8500,-2.8500,-2.8500,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730,-1.9730
2025-01-16,-2.4870,-2.4870,-2.4870,-2.4870,-2.4870,-2.4870,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6595,-2.6655,-2.6655,-2.6655,-2.6655,-2.6655,-2.6655,-2.3613,-2.3613,-2.3613,-2.3613,-2.3613,-2.3613
2025-01-17,-1.9985,-1.9985,-1.9985,-1.9985,-1.9985,-1.9985,-1.8090,-1.8090,-1.8090,-1.8090,-1.8090,-1.8090,-1.8645,-1.8645,-1.8645,-1.8645,-1.8645,-1.8645,-1.6850,-1.6850,-1.6850,-1.6850,-1.6850,-1.6850,-1.7450,-1.7450,-1.7450,-1.7450,-1.7450,-1.7450,-1.7862,-1.7862,-1.7862,-1.7862,-1.7862,-1.7862
2025-01-20,-1.7622,-1.7622,-1.7622,-1.7622,-1.7622,-1.7622,-1.7850,-1.7850,-1.7850,-1.7850,-1.7850,-1.7850,-1.9338,-1.9338,-1.9338,-1.9338,-1.9338,-1.9338,-1.9775,-1.9775,-1.9775,-1.9775,-1.9775,-1.9775,-1.7670,-1.7670,-1.7670,-1.7670,-1.7670,-1.7670,0.1815,0.1815,0.1815,0.1815,0.1815,0.1815
2025-01-21,0.9397,-1.9705,-1.9705,-1.9705,-1.9705,-1.9705,0.9870,-2.0650,-2.0650,-2.0650,-2.0650,-2.0650,-2.0175,-2.0175,-2.0175,-2.0175,-2.0175,-2.0175,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812,-1.8812
2025-01-22,1.8655,1.9740,-1.0377,-1.0377,-1.0377,-1.0377,1.3980,1.9770,-1.0905,-1.0905,-1.0905,-1.0905,1.3980,1.9770,-1.0905,-1.0905,-1.0905,-1.0905,1.3980,1.9770,-1.0905,-1.0905,-1.0905,-1.0905,1.3980,1.9770,-1.0905,-1.0905,-1.0905,-1.0905,1.3980,1.9770,-1.0905,-1.0905,-1.0905,-1.0905
2025-01-23,-1.9140,-1.9140,-1.9140,-1.9140,-1.9140,-1.9140,-1.9530,-1.9530,-1.9530,-1.9530,-1.9530,-1.9530,-1.9530,-1.9530,-1.9530,-1.9530,-1.9530,-1.9530,2.4465,2.4465,-1.3755,-1.3755,-1.3755,-1.3755,-1.9915,-1.9915,-1.9915,-1.9915,-1.9915,-1.9915,1.9740,1.9740,-1.3020,-1.3020,-1.3020,-1.3020
2025-01-24,-2.0300,-2.0300,-2.0300,-2.0300,-2.0300,-2.0300,-2.0405,-2.0405,-2.0405,-2.0405,-2.0405,-2.0405,-1.9023,-1.9023,-1.9023,-1.9023,-1.9023,-1.9023,-1.9023,-1.9023,-1.9023,-1.9023,-1.9023,-1.9023,-1.7955,-1.7955,-1.7955,-1.7955,-1.7955,-1.7955,-1.7955,-1.7955,-1.7955,-1.7955,-1.7955,-1.7955
2025-01-27,1.1013,-1.8300,-1.8300,-1.8300,-1.8300,-1.8300,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843,-1.7843
