caldt,open,high,low,close,volume,vwap,transactions,day
2023-11-08 11:31:00,16.78,16.78,16.78,16.78,100,16.78,1,2023-11-08
2023-11-08 12:41:00,16.67,16.6701,16.67,16.6701,2000,16.6701,6,2023-11-08
2023-11-08 15:47:00,16.77,16.77,16.77,16.77,2000,16.77,16,2023-11-08
2023-11-08 15:49:00,16.74,16.74,16.74,16.74,500,16.74,5,2023-11-08
2023-11-08 15:59:00,16.82,16.82,16.82,16.82,191,16.82,1,2023-11-08
2023-11-09 10:06:00,16.77,16.77,16.7699,16.7699,200,16.7699,2,2023-11-09
2023-11-09 14:00:00,16.51,16.51,16.51,16.51,185,16.51,4,2023-11-09
2023-11-09 15:59:00,16.28,16.28,16.28,16.28,185,16.28,1,2023-11-09
2023-11-10 09:30:00,16.21,16.21,16.21,16.21,200,16.21,2,2023-11-10
2023-11-10 09:51:00,16.42,16.42,16.42,16.42,100,16.42,1,2023-11-10
2023-11-10 12:33:00,16.63,16.63,16.63,16.63,100,16.63,1,2023-11-10
2023-11-10 15:55:00,16.9199,16.9199,16.9199,16.9199,125,16.9199,1,2023-11-10
2023-11-13 09:30:00,16.88,16.88,16.88,16.88,116,16.88,1,2023-11-13
2023-11-13 09:46:00,16.74,16.74,16.74,16.74,101,16.74,1,2023-11-13
2023-11-13 10:03:00,16.69,16.69,16.69,16.69,150,16.69,1,2023-11-13
2023-11-13 10:35:00,16.78,16.78,16.78,16.78,700,16.78,1,2023-11-13
2023-11-13 10:36:00,16.8,16.8,16.7995,16.7995,1400,16.7998,2,2023-11-13
2023-11-13 11:16:00,16.91,16.91,16.91,16.91,100,16.91,1,2023-11-13
2023-11-13 12:11:00,16.81,16.81,16.81,16.81,100,16.81,1,2023-11-13
2023-11-13 13:34:00,16.84,16.84,16.84,16.84,200,16.84,1,2023-11-13
2023-11-13 13:41:00,16.8695,16.8695,16.8695,16.8695,100,16.8695,1,2023-11-13
2023-11-13 15:48:00,16.79,16.79,16.79,16.79,100,16.79,1,2023-11-13
2023-11-13 15:59:00,16.81,16.81,16.81,16.81,100,16.81,1,2023-11-13
2023-11-14 11:50:00,17.97,17.97,17.97,17.97,866,17.97,8,2023-11-14
2023-11-14 11:51:00,17.97,17.97,17.97,17.97,134,17.97,1,2023-11-14
2023-11-14 12:05:00,17.9099,17.9099,17.9099,17.9099,100,17.9099,1,2023-11-14
2023-11-14 15:59:00,18.08,18.08,18.08,18.08,982,18.0808,4,2023-11-14
2023-11-15 09:53:00,18.2,18.2,18.2,18.2,500,18.2,2,2023-11-15
2023-11-15 13:00:00,18.19,18.19,18.19,18.19,500,18.19,3,2023-11-15
2023-11-15 13:51:00,18.14,18.14,18.14,18.14,100,18.14,1,2023-11-15
2023-11-16 09:29:00,17.85,17.85,17.85,17.85,100,17.85,1,2023-11-16
2023-11-16 09:30:00,17.88,17.88,17.88,17.88,651,17.8623,2,2023-11-16
2023-11-16 09:34:00,17.7,17.7,17.7,17.7,100,17.7,1,2023-11-16
2023-11-16 09:45:00,17.7,17.7,17.7,17.7,300,17.7,3,2023-11-16
2023-11-16 09:46:00,17.7,17.7,17.7,17.7,357,17.7,2,2023-11-16
2023-11-16 10:39:00,17.7,17.7,17.7,17.7,600,17.7,7,2023-11-16
2023-11-16 15:56:00,17.69,17.69,17.69,17.69,701,17.69,2,2023-11-16
2023-11-16 15:57:00,17.67,17.67,17.67,17.67,200,17.67,2,2023-11-16
2023-11-16 15:59:00,17.7,17.7,17.7,17.7,473,17.7,3,2023-11-16
2023-11-17 14:16:00,17.97,17.97,17.97,17.97,100,17.97,1,2023-11-17
2023-11-17 15:21:00,17.88,17.88,17.88,17.88,100,17.88,1,2023-11-17
2023-11-17 15:23:00,17.88,17.88,17.88,17.88,200,17.88,2,2023-11-17
2023-11-17 15:24:00,17.88,17.89,17.88,17.89,709,17.8828,11,2023-11-17
2023-11-17 15:26:00,17.89,17.89,17.89,17.89,100,17.89,1,2023-11-17
2023-11-17 15:28:00,17.9,17.9,17.9,17.9,100,17.9,1,2023-11-17
2023-11-17 15:29:00,17.9,17.9,17.9,17.9,100,17.9,1,2023-11-17
2023-11-17 15:48:00,17.87,17.87,17.87,17.87,100,17.87,1,2023-11-17
2023-11-17 15:57:00,17.89,17.9,17.89,17.9,900,17.8956,9,2023-11-17
2023-11-17 15:59:00,17.88,17.89,17.88,17.89,509,17.882,3,2023-11-17
2023-11-20 10:04:00,18.17,18.17,18.17,18.17,499,18.17,5,2023-11-20
2023-11-20 15:22:00,18.4501,18.4501,18.4501,18.4501,230,18.4501,1,2023-11-20
2023-11-20 15:59:00,18.36,18.36,18.36,18.36,310,18.36,1,2023-11-20
2023-11-21 09:49:00,18.19,18.19,18.19,18.19,498,18.19,1,2023-11-21
2023-11-21 15:46:00,18.11,18.11,18.11,18.11,100,18.11,1,2023-11-21
2023-11-22 15:59:00,18.35,18.35,18.35,18.35,114,18.35,2,2023-11-22
2023-11-24 09:30:00,18.5,18.5,18.5,18.5,100,18.5,1,2023-11-24
2023-11-24 09:51:00,18.2,18.2,18.2,18.2,100,18.2,1,2023-11-24
2023-11-24 10:06:00,18.25,18.25,18.25,18.25,221,18.25,3,2023-11-24
2023-11-24 10:07:00,18.25,18.25,18.25,18.25,379,18.25,1,2023-11-24
2023-11-24 11:54:00,18.25,18.25,18.25,18.25,500,18.25,1,2023-11-24
2023-11-24 12:36:00,18.25,18.25,18.22,18.22,1320,18.2456,5,2023-11-24
2023-11-24 12:37:00,18.2729,18.2779,18.2729,18.2779,892,18.274,2,2023-11-24
2023-11-24 12:57:00,18.29,18.29,18.29,18.29,501,18.29,1,2023-11-24
2023-11-24 12:59:00,18.27,18.27,18.27,18.27,121,18.27,2,2023-11-24
2023-11-27 10:18:00,18.41,18.41,18.41,18.41,100,18.41,1,2023-11-27
2023-11-27 10:35:00,18.51,18.51,18.51,18.51,216,18.5093,3,2023-11-27
2023-11-27 10:36:00,18.52,18.52,18.52,18.52,200,18.52,2,2023-11-27
2023-11-27 10:39:00,18.5,18.5,18.5,18.5,300,18.5,3,2023-11-27
2023-11-27 10:40:00,18.5,18.5,18.5,18.5,100,18.5,1,2023-11-27
2023-11-27 10:41:00,18.51,18.51,18.51,18.51,300,18.51,3,2023-11-27
2023-11-27 10:42:00,18.5,18.5,18.5,18.5,100,18.5,1,2023-11-27
2023-11-27 10:43:00,18.5,18.5,18.5,18.5,300,18.5,3,2023-11-27
2023-11-27 10:51:00,18.46,18.46,18.46,18.46,800,18.46,5,2023-11-27
2023-11-27 15:31:00,18.36,18.37,18.36,18.37,433,18.3673,6,2023-11-27
2023-11-28 09:44:00,18.06,18.06,18.06,18.06,100,18.06,1,2023-11-28
2023-11-28 11:39:00,18.5,18.5,18.5,18.5,100,18.5,1,2023-11-28
2023-11-28 15:59:00,18.41,18.41,18.41,18.41,101,18.41,1,2023-11-28
2023-11-29 09:30:00,19.0,19.0,19.0,19.0,501,18.9998,3,2023-11-29
2023-11-29 11:03:00,19.37,19.37,19.37,19.37,249,19.37,2,2023-11-29
2023-11-29 15:59:00,19.21,19.22,19.21,19.22,252,19.216,3,2023-11-29
2023-11-30 09:53:00,19.19,19.19,19.1899,19.1899,520,19.19,2,2023-11-30
2023-11-30 10:03:00,19.0,19.0,19.0,19.0,149,18.9974,4,2023-11-30
2023-11-30 10:36:00,19.07,19.07,19.07,19.07,150,19.07,1,2023-11-30
2023-12-01 16:00:00,19.81,19.83,19.81,19.83,597,19.8134,2,2023-12-01
2023-12-04 10:17:00,19.57,19.57,19.57,19.57,950,19.57,3,2023-12-04
2023-12-04 10:22:00,19.5,19.5,19.5,19.5,200,19.5,2,2023-12-04
2023-12-04 15:29:00,19.5929,19.5929,19.5929,19.5929,100,19.5929,1,2023-12-04
2023-12-05 10:16:00,19.71,19.7101,19.71,19.7101,1598,19.7101,4,2023-12-05
2023-12-05 15:59:00,19.77,19.77,19.77,19.77,210,19.77,1,2023-12-05
2023-12-06 10:58:00,19.76,19.76,19.76,19.76,250,19.7574,3,2023-12-06
2023-12-06 13:45:00,19.5001,19.5001,19.5001,19.5001,170,19.5001,1,2023-12-06
2023-12-07 09:47:00,19.18,19.18,19.18,19.18,800,19.18,8,2023-12-07
2023-12-07 10:19:00,19.3297,19.34,19.3297,19.34,2939,19.3355,11,2023-12-07
2023-12-07 11:38:00,19.31,19.3101,19.31,19.3101,250,19.3101,2,2023-12-07
2023-12-07 15:59:00,19.37,19.37,19.37,19.37,1758,19.37,6,2023-12-07
2023-12-08 10:07:00,19.55,19.55,19.55,19.55,400,19.55,8,2023-12-08
2023-12-08 12:48:00,19.515,19.515,19.515,19.515,154,19.515,1,2023-12-08
2023-12-08 15:59:00,19.63,19.63,19.62,19.62,395,19.6251,4,2023-12-08
2023-12-13 15:28:00,20.405,20.405,20.405,20.405,100,20.405,1,2023-12-13
2023-12-13 15:41:00,20.59,20.59,20.5899,20.5899,200,20.5899,2,2023-12-13
2023-12-15 09:52:00,21.05,21.05,21.05,21.05,400,21.05,1,2023-12-15
2023-12-15 10:54:00,21.35,21.35,21.35,21.35,500,21.35,7,2023-12-15
2023-12-15 11:10:00,21.3095,21.3095,21.3095,21.3095,300,21.3095,1,2023-12-15
2023-12-15 11:11:00,21.31,21.31,21.2997,21.2997,900,21.3069,3,2023-12-15
2023-12-15 11:18:00,21.28,21.28,21.2755,21.2755,1000,21.2778,4,2023-12-15
2023-12-15 13:40:00,21.01,21.01,21.01,21.01,100,21.01,1,2023-12-15
2023-12-15 14:55:00,21.15,21.15,21.15,21.15,100,21.15,1,2023-12-15
2023-12-15 15:59:00,21.27,21.27,21.27,21.27,300,21.27,1,2023-12-15
2023-12-18 09:30:00,21.3,21.3,21.3,21.3,104,21.3002,3,2023-12-18
2023-12-18 13:01:00,21.62,21.62,21.62,21.62,300,21.62,4,2023-12-18
2023-12-18 13:22:00,21.69,21.69,21.69,21.69,226,21.69,2,2023-12-18
2023-12-18 13:24:00,21.68,21.68,21.68,21.68,250,21.68,2,2023-12-18
2023-12-18 14:13:00,21.736,21.736,21.736,21.736,300,21.736,2,2023-12-18
2023-12-18 14:16:00,21.78,21.78,21.7799,21.7799,706,21.7815,6,2023-12-18
2023-12-18 14:30:00,21.7301,21.7301,21.7301,21.7301,160,21.7301,1,2023-12-18
2023-12-18 14:40:00,21.76,21.76,21.75,21.75,201,21.755,2,2023-12-18
2023-12-18 14:41:00,21.74,21.74,21.74,21.74,544,21.74,2,2023-12-18
2023-12-18 15:12:00,21.8,21.8,21.77,21.77,735,21.7807,3,2023-12-18
2023-12-18 15:25:00,21.75,21.75,21.74,21.74,658,21.7479,4,2023-12-18
2023-12-19 11:39:00,22.0154,22.0154,22.0,22.0111,1600,22.0061,6,2023-12-19
2023-12-19 11:55:00,21.9301,21.9301,21.93,21.9301,1600,21.9301,6,2023-12-19
2023-12-19 15:24:00,21.95,21.95,21.93,21.93,1200,21.9417,3,2023-12-19
2023-12-20 09:30:00,21.6,21.6,21.6,21.6,450,21.6,1,2023-12-20
2023-12-20 09:48:00,21.77,21.77,21.77,21.77,248,21.7734,2,2023-12-20
2023-12-20 10:09:00,21.96,21.9601,21.96,21.9601,277,21.9601,5,2023-12-20
2023-12-20 10:32:00,22.1,22.1,22.1,22.1,602,22.1,8,2023-12-20
2023-12-20 12:01:00,22.12,22.12,22.12,22.12,140,22.12,1,2023-12-20
2023-12-20 14:53:00,21.43,21.43,21.43,21.43,400,21.43,3,2023-12-20
2023-12-20 15:15:00,21.4679,21.4679,21.4679,21.4679,100,21.4679,1,2023-12-20
2023-12-20 15:59:00,21.15,21.15,21.15,21.15,1683,21.15,14,2023-12-20
2023-12-21 09:30:00,21.48,21.48,21.48,21.48,400,21.48,1,2023-12-21
2023-12-21 09:46:00,21.6689,21.6689,21.6689,21.6689,663,21.6638,4,2023-12-21
2023-12-21 09:52:00,21.74,21.74,21.74,21.74,150,21.74,2,2023-12-21
2023-12-21 10:07:00,21.53,21.53,21.53,21.53,200,21.53,2,2023-12-21
2023-12-21 13:01:00,21.5,21.5,21.5,21.5,100,21.5,1,2023-12-21
2023-12-22 10:19:00,21.96,21.96,21.96,21.96,234,21.96,1,2023-12-22
2023-12-22 15:47:00,21.85,21.85,21.85,21.85,400,21.85,4,2023-12-22
2023-12-26 15:45:00,22.21,22.21,22.21,22.21,100,22.21,1,2023-12-26
2023-12-27 09:30:00,21.96,21.96,21.96,21.96,100,21.96,1,2023-12-27
2023-12-27 09:33:00,22.32,22.32,22.32,22.32,233,22.32,1,2023-12-27
2023-12-27 09:44:00,22.25,22.25,22.25,22.25,104,22.2488,3,2023-12-27
2023-12-27 09:48:00,22.22,22.22,22.2,22.2,204,22.2085,4,2023-12-27
2023-12-27 11:39:00,22.15,22.15,22.15,22.15,100,22.15,1,2023-12-27
2023-12-27 15:27:00,22.03,22.03,22.03,22.03,100,22.03,1,2023-12-27
2023-12-28 09:34:00,21.99,21.99,21.99,21.99,418,21.99,2,2023-12-28
2023-12-28 10:00:00,21.74,21.74,21.74,21.74,219,21.74,1,2023-12-28
2023-12-28 10:45:00,22.1218,22.1439,22.1218,22.1439,1249,22.1395,2,2023-12-28
2023-12-29 10:24:00,22.0599,22.0599,22.0599,22.0599,400,22.0599,1,2023-12-29
2023-12-29 12:12:00,21.58,21.58,21.58,21.58,131,21.58,1,2023-12-29
2023-12-29 13:42:00,21.7502,21.7502,21.7502,21.7502,180,21.7502,1,2023-12-29
2023-12-29 15:55:00,21.53,21.53,21.53,21.53,154,21.5214,3,2023-12-29
2024-01-02 09:54:00,20.6,20.6,20.29,20.29,760,20.496,7,2024-01-02
2024-01-02 10:29:00,20.28,20.28,20.28,20.28,1535,20.28,5,2024-01-02
2024-01-02 10:31:00,20.2,20.2,20.2,20.2,1000,20.2,4,2024-01-02
2024-01-02 11:04:00,20.28,20.28,20.28,20.28,1474,20.2799,5,2024-01-02
2024-01-02 11:09:00,20.37,20.37,20.37,20.37,100,20.37,1,2024-01-02
2024-01-02 12:19:00,20.5275,20.5275,20.5275,20.5275,1000,20.5275,1,2024-01-02
2024-01-02 13:13:00,20.39,20.39,20.39,20.39,400,20.39,1,2024-01-02
2024-01-02 15:01:00,20.1709,20.1709,20.17,20.17,440,20.1705,2,2024-01-02
2024-01-02 15:49:00,20.19,20.19,20.19,20.19,206,20.1894,2,2024-01-02
2024-01-03 09:39:00,20.06,20.06,20.06,20.06,246,20.06,1,2024-01-03
2024-01-03 15:46:00,19.67,19.67,19.56,19.56,4703,19.5944,42,2024-01-03
