caldt,open,high,low,close,volume,vwap,transactions,day
2025-09-01 00:00:00,23538.5,23542.5,23532.5,23533.0,569,,,2025-09-01
2025-09-01 00:01:00,23532.25,23534.5,23530.25,23531.5,448,,,2025-09-01
2025-09-01 00:02:00,23531.0,23533.25,23529.75,23532.0,214,,,2025-09-01
2025-09-01 00:03:00,23532.5,23536.75,23532.0,23536.75,215,,,2025-09-01
2025-09-01 00:04:00,23536.75,23540.0,23535.0,23537.5,206,,,2025-09-01
2025-09-01 00:05:00,23538.0,23544.0,23536.75,23541.5,347,,,2025-09-01
2025-09-01 00:06:00,23541.0,23544.75,23540.25,23544.25,256,,,2025-09-01
2025-09-01 00:07:00,23544.0,23549.0,23542.75,23546.25,707,,,2025-09-01
2025-09-01 00:08:00,23547.0,23547.25,23543.0,23544.75,189,,,2025-09-01
2025-09-01 00:09:00,23544.25,23546.75,23543.25,23543.5,166,,,2025-09-01
2025-09-01 00:10:00,23543.75,23546.75,23538.75,23542.25,431,,,2025-09-01
2025-09-01 00:11:00,23542.75,23549.0,23541.5,23547.25,270,,,2025-09-01
2025-09-01 00:12:00,23547.75,23550.5,23547.75,23550.0,432,,,2025-09-01
2025-09-01 00:13:00,23550.5,23552.25,23548.75,23551.0,254,,,2025-09-01
2025-09-01 00:14:00,23550.75,23550.75,23548.75,23549.5,258,,,2025-09-01
2025-09-01 00:15:00,23548.75,23551.25,23547.75,23549.25,280,,,2025-09-01
2025-09-01 00:16:00,23550.0,23551.5,23547.25,23550.75,225,,,2025-09-01
2025-09-01 00:17:00,23551.25,23551.75,23547.75,23548.75,110,,,2025-09-01
2025-09-01 00:18:00,23549.0,23555.25,23549.0,23551.25,371,,,2025-09-01
2025-09-01 00:19:00,23551.25,23551.5,23547.25,23550.75,183,,,2025-09-01
2025-09-01 00:20:00,23550.25,23550.5,23546.5,23546.75,184,,,2025-09-01
2025-09-01 00:21:00,23547.0,23547.5,23544.25,23544.5,283,,,2025-09-01
2025-09-01 00:22:00,23544.25,23545.25,23541.5,23543.0,271,,,2025-09-01
2025-09-01 00:23:00,23542.25,23543.25,23539.5,23540.25,216,,,2025-09-01
2025-09-01 00:24:00,23540.25,23542.5,23539.25,23540.25,234,,,2025-09-01
2025-09-01 00:25:00,23540.0,23540.0,23533.5,23535.25,521,,,2025-09-01
2025-09-01 00:26:00,23535.75,23536.5,23532.25,23532.75,303,,,2025-09-01
2025-09-01 00:27:00,23532.5,23533.5,23530.25,23532.75,423,,,2025-09-01
2025-09-01 00:28:00,23533.0,23536.25,23532.25,23536.25,300,,,2025-09-01
2025-09-01 00:29:00,23535.5,23538.5,23535.5,23536.5,227,,,2025-09-01
2025-09-01 00:30:00,23536.5,23540.5,23536.25,23539.75,202,,,2025-09-01
2025-09-01 00:31:00,23539.75,23539.75,23534.5,23535.75,186,,,2025-09-01
2025-09-01 00:32:00,23535.5,23539.25,23535.5,23537.5,144,,,2025-09-01
2025-09-01 00:33:00,23538.0,23541.0,23534.0,23535.5,203,,,2025-09-01
2025-09-01 00:34:00,23535.5,23535.75,23533.0,23533.0,152,,,2025-09-01
2025-09-01 00:35:00,23533.0,23534.5,23531.75,23531.75,124,,,2025-09-01
2025-09-01 00:36:00,23532.25,23533.0,23530.0,23532.5,209,,,2025-09-01
2025-09-01 00:37:00,23532.25,23534.5,23532.25,23533.25,102,,,2025-09-01
2025-09-01 00:38:00,23533.0,23534.5,23533.0,23534.5,77,,,2025-09-01
2025-09-01 00:39:00,23534.75,23535.25,23532.5,23533.75,116,,,2025-09-01
2025-09-01 00:40:00,23534.0,23535.5,23533.75,23534.75,86,,,2025-09-01
2025-09-01 00:41:00,23534.25,23537.25,23533.75,23535.25,134,,,2025-09-01
2025-09-01 00:42:00,23534.75,23538.5,23534.5,23538.0,89,,,2025-09-01
2025-09-01 00:43:00,23538.0,23540.0,23535.5,23538.75,173,,,2025-09-01
2025-09-01 00:44:00,23539.0,23539.75,23537.25,23539.25,92,,,2025-09-01
2025-09-01 00:45:00,23539.5,23542.25,23539.0,23540.75,257,,,2025-09-01
2025-09-01 00:46:00,23541.75,23543.75,23540.5,23543.25,159,,,2025-09-01
2025-09-01 00:47:00,23542.75,23544.5,23541.5,23542.0,144,,,2025-09-01
